step	loss
4120	0.490223
4130	0.505275
4140	0.426170
4150	0.387667
4160	0.327604
4170	0.429731
4180	0.362251
4190	0.335093
4200	0.314843
4210	0.271901
4220	0.250859
4230	0.331652
4240	0.311513
4250	0.297507
4260	0.359586
4270	0.316540
4280	0.271286
4290	0.311775
4300	0.318546
4310	0.278813
4320	0.247959
4330	0.207888
4340	0.266039
4350	0.228566
4360	0.195255
4370	0.186343
4380	0.188879
4390	0.168016
4400	0.176713
4410	0.185320
4420	0.205546
4430	0.191982
4440	0.168646
4450	0.191240
4460	0.185680
4470	0.166551
4480	0.154847
4490	0.129038
4500	0.180436
4510	0.137571
4520	0.141736
4530	0.120525
4540	0.118626
4550	0.120290
4560	0.134991
4570	0.128361
